app_snapshot_key,genre_key,weight,inserted_at
39,18,1.000000000000,2026-05-09 20:49:58.217644+00
40,18,1.000000000000,2026-05-09 20:49:58.217644+00
41,18,1.000000000000,2026-05-09 20:49:58.217644+00
42,18,1.000000000000,2026-05-09 20:49:58.217644+00
43,18,1.000000000000,2026-05-09 20:49:58.217644+00
44,18,0.500000000000,2026-05-09 20:49:58.217644+00
44,34,0.500000000000,2026-05-09 20:49:58.217644+00
45,18,1.000000000000,2026-05-09 20:49:58.217644+00
46,18,1.000000000000,2026-05-09 20:49:58.217644+00
47,36,1.000000000000,2026-05-09 20:49:58.217644+00
48,18,1.000000000000,2026-05-09 20:49:58.217644+00
49,18,1.000000000000,2026-05-09 20:49:58.217644+00
50,18,1.000000000000,2026-05-09 20:49:58.217644+00
51,36,1.000000000000,2026-05-09 20:49:58.217644+00
52,36,1.000000000000,2026-05-09 20:49:58.217644+00
53,36,1.000000000000,2026-05-09 20:49:58.217644+00
54,36,1.000000000000,2026-05-09 20:49:58.217644+00
55,36,1.000000000000,2026-05-09 20:49:58.217644+00
56,36,1.000000000000,2026-05-09 20:49:58.217644+00
57,36,1.000000000000,2026-05-09 20:49:58.217644+00
58,36,1.000000000000,2026-05-09 20:49:58.217644+00
59,36,1.000000000000,2026-05-09 20:49:58.217644+00
60,36,1.000000000000,2026-05-09 20:49:58.217644+00
61,36,1.000000000000,2026-05-09 20:49:58.217644+00
62,36,1.000000000000,2026-05-09 20:49:58.217644+00
63,36,1.000000000000,2026-05-09 20:49:58.217644+00
64,36,1.000000000000,2026-05-09 20:49:58.217644+00
65,36,1.000000000000,2026-05-09 20:49:58.217644+00
66,36,1.000000000000,2026-05-09 20:49:58.217644+00
67,36,1.000000000000,2026-05-09 20:49:58.217644+00
68,36,1.000000000000,2026-05-09 20:49:58.217644+00
69,36,1.000000000000,2026-05-09 20:49:58.217644+00
70,36,1.000000000000,2026-05-09 20:49:58.217644+00
71,36,1.000000000000,2026-05-09 20:49:58.217644+00
72,36,1.000000000000,2026-05-09 20:49:58.217644+00
73,36,1.000000000000,2026-05-09 20:49:58.217644+00
74,36,1.000000000000,2026-05-09 20:49:58.217644+00
75,36,1.000000000000,2026-05-09 20:49:58.217644+00
76,36,1.000000000000,2026-05-09 20:49:58.217644+00
77,36,1.000000000000,2026-05-09 20:49:58.217644+00
78,36,1.000000000000,2026-05-09 20:49:58.217644+00
79,36,1.000000000000,2026-05-09 20:49:58.217644+00
80,36,1.000000000000,2026-05-09 20:49:58.217644+00
81,36,1.000000000000,2026-05-09 20:49:58.217644+00
82,36,1.000000000000,2026-05-09 20:49:58.217644+00
83,36,1.000000000000,2026-05-09 20:49:58.217644+00
84,36,1.000000000000,2026-05-09 20:49:58.217644+00
85,36,1.000000000000,2026-05-09 20:49:58.217644+00
86,36,1.000000000000,2026-05-09 20:49:58.217644+00
87,36,1.000000000000,2026-05-09 20:49:58.217644+00
88,36,1.000000000000,2026-05-09 20:49:58.217644+00
89,36,1.000000000000,2026-05-09 20:49:58.217644+00
90,36,1.000000000000,2026-05-09 20:49:58.217644+00
91,36,1.000000000000,2026-05-09 20:49:58.217644+00
92,36,1.000000000000,2026-05-09 20:49:58.217644+00
93,36,1.000000000000,2026-05-09 20:49:58.217644+00
